max_total_agent_capacity,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
1115,iterated_maximum_matching_adjusted,6,92.38899833662104,50.0,66.26794258373205,3.939681136344145,4.0,0.6073059360730594,219.0,219.0,219.0,0.8947112000314519
1115,iterated_maximum_matching_adjusted,7,91.24543833195716,50.0,64.83253588516746,5.107311814735573,4.0,0.4449541284403669,218.0,218.0,218.0,0.2554309999686666
1115,iterated_maximum_matching_adjusted,8,91.40357616833045,50.0,64.83253588516746,5.0120527021894095,4.0,0.5023474178403756,213.0,213.0,213.0,0.2514851000159979
1115,iterated_maximum_matching_adjusted,9,91.00989680187242,50.0,64.83253588516746,3.9463045102225274,4.0,0.6465116279069767,215.0,215.0,215.0,0.2501267000334337
1115,serial_dictatorship,0,85.46958634913835,12.0,85.6,12.787694985137362,0.0,0.0,198.0,212.0,215.0,0.0648322000051848
1115,serial_dictatorship,1,86.15385527716705,0.0,109.0909090909091,12.812745448260912,0.0,0.0,192.0,211.0,217.0,0.0654908000142313
1115,serial_dictatorship,2,84.27865739341523,0.0,109.0909090909091,13.725729569345951,0.0,0.0,185.0,202.0,211.0,0.0634307999862358
1115,serial_dictatorship,3,86.36206214704883,8.92608089260809,91.07391910739192,10.725100369822382,0.0,0.0,196.0,205.0,210.0,0.0654425999964587
1115,serial_dictatorship,4,84.3625686550393,0.0,109.0909090909091,14.695946102653515,0.0,0.0,195.0,212.0,216.0,0.0671331000048667
1115,serial_dictatorship,5,84.80039091066993,10.0,85.6,12.77250535201497,0.0,0.0,185.0,211.0,215.0,0.068385999999009
1115,serial_dictatorship,6,86.36414429310419,0.0,109.0909090909091,12.690181987880411,0.0,0.0,196.0,212.0,216.0,0.068388000014238
1115,serial_dictatorship,7,85.01845752602763,12.0,85.6,14.082769904498331,0.0,0.0,195.0,208.0,213.0,0.0667659999453462
1115,serial_dictatorship,8,85.05782471441185,12.0,109.0909090909091,12.885624686090347,0.0,0.0,187.0,205.0,208.0,0.0678263999870978
1115,serial_dictatorship,9,85.45527639092546,10.0,109.0909090909091,12.08123785701907,0.0,0.0,196.0,208.0,213.0,0.0646487000049091
1115,round_robin,0,91.57265017373612,50.0,64.83253588516746,4.807145262887783,0.0,0.0,218.0,218.0,218.0,0.0680747000151313
1115,round_robin,1,91.56652119901264,33.4,87.79904306220095,7.161899939250581,0.0,0.0,220.0,220.0,220.0,0.0685354999732226
1115,round_robin,2,90.9055608709342,33.4,87.79904306220095,5.794530323850136,0.0,0.0,214.0,214.0,214.0,0.0625503999763168
1115,round_robin,3,92.6662374246698,50.0,64.83253588516746,3.2164689647588327,0.0,0.0,215.0,215.0,215.0,0.0626532000023871
1115,round_robin,4,90.43915606132953,50.0,41.38755980861244,4.8538505311404,0.0,0.0,222.0,222.0,222.0,0.0690555999753996
1115,round_robin,5,91.58804385315906,50.0,64.83253588516746,4.202811397792792,0.0,0.0,217.0,217.0,217.0,0.0674604999949224
1115,round_robin,6,92.26260322859515,50.0,66.26794258373205,4.8111063903970095,0.0,0.0,219.0,219.0,219.0,0.0663579000392928
1115,round_robin,7,91.17783931598792,50.0,64.83253588516746,5.727226269990606,0.0,0.0,218.0,218.0,218.0,0.0648807999677956
1115,round_robin,8,91.29445970550256,50.0,64.83253588516746,5.174677136309977,0.0,0.0,213.0,213.0,213.0,0.0630571999936364
1115,round_robin,9,89.5005335517749,50.0,64.83253588516746,6.576356457455139,0.0,0.0,215.0,215.0,215.0,0.0646424000151455
1115,bidirectional_round_robin,0,91.6244667203795,50.0,66.26794258373205,4.670244371763798,0.0,0.0,218.0,218.0,218.0,0.0663489999715238
1115,bidirectional_round_robin,1,91.67606665355812,33.4,64.83253588516746,5.904029125853452,0.0,0.0,220.0,220.0,220.0,0.0693767999764531
1115,bidirectional_round_robin,2,90.91404780887548,33.4,64.83253588516746,5.88790947635976,0.0,0.0,214.0,214.0,214.0,0.0657622999860905
1115,bidirectional_round_robin,3,92.51493093227246,50.0,70.8133971291866,3.479047294254204,0.0,0.0,215.0,215.0,215.0,0.0649856000090949
1115,bidirectional_round_robin,4,90.53614493396007,50.0,33.49282296650718,3.3843788493272107,0.0,0.0,222.0,222.0,222.0,0.0709503999678418
1115,bidirectional_round_robin,5,91.5714182154883,50.0,64.83253588516746,4.219437035463547,0.0,0.0,217.0,217.0,217.0,0.068469499994535
1115,bidirectional_round_robin,6,92.3600371398234,50.0,66.26794258373205,4.713672479168752,0.0,0.0,219.0,219.0,219.0,0.0678563999827019
1115,bidirectional_round_robin,7,91.16845975675032,50.0,64.83253588516746,4.610357353219539,0.0,0.0,218.0,218.0,218.0,0.0825515000033192
1115,bidirectional_round_robin,8,91.30438033486524,50.0,64.83253588516746,4.953272549438824,0.0,0.0,213.0,213.0,213.0,0.0703330000396817
1115,bidirectional_round_robin,9,89.43171823983883,50.0,39.952153110047846,5.401107378645432,0.0,0.0,215.0,215.0,215.0,0.0709632000070996
1115,almost_egalitarian_without_donation,0,92.64812697247945,60.7,47.84688995215312,6.571928522874467,4.0,0.6055045871559633,213.0,218.0,218.0,8.722774000023492
1115,almost_egalitarian_without_donation,1,92.99708752818856,60.7,81.33971291866028,11.243533577446868,4.0,0.5409090909090909,216.0,220.0,220.0,8.597309800039511
1115,almost_egalitarian_without_donation,2,92.44063721281394,60.7,64.35406698564593,7.877929298223496,4.0,0.7663551401869159,210.0,214.0,214.0,8.839189699967392
1115,almost_egalitarian_without_donation,3,93.39380042089088,68.58037578288099,81.33971291866028,8.408507828983316,4.0,0.4511627906976744,214.0,215.0,215.0,9.150743099977262
1115,almost_egalitarian_without_donation,4,91.91406318754186,66.0,64.35406698564593,9.167445286331002,4.0,0.4729729729729729,219.0,222.0,222.0,8.103784600039944
1115,almost_egalitarian_without_donation,5,92.74348234720944,68.58037578288099,64.35406698564593,6.997426128482407,4.0,0.3502304147465437,215.0,217.0,217.0,8.57675789995119
1115,almost_egalitarian_without_donation,6,93.50508054883431,68.58037578288099,81.33971291866028,9.681435497901218,4.0,0.5570776255707762,219.0,219.0,219.0,7.954622100049164
1115,almost_egalitarian_without_donation,7,92.4011080231832,68.58037578288099,64.35406698564593,9.42441714287868,4.0,0.4036697247706422,218.0,218.0,218.0,8.550284299999475
1115,almost_egalitarian_without_donation,8,92.60948368772964,60.7,64.35406698564593,8.744378320076702,4.0,0.4366197183098591,210.0,213.0,213.0,8.614280799985863
1115,almost_egalitarian_without_donation,9,91.66449565282264,66.0,64.35406698564593,7.773366762573804,4.0,0.5209302325581395,208.0,215.0,215.0,8.775556700013112
1115,almost_egalitarian_with_donation,0,92.88625929294652,60.7,81.33971291866028,8.317901208941182,4.0,0.6009174311926605,212.0,218.0,218.0,8.551912099996116
1115,almost_egalitarian_with_donation,1,93.37242049956592,60.7,81.33971291866028,7.575642067869979,4.0,0.5409090909090909,218.0,220.0,220.0,8.697189699974842
1115,almost_egalitarian_with_donation,2,92.70209841713628,66.0,81.33971291866028,8.718128721962948,4.0,0.7850467289719626,211.0,214.0,214.0,7.927449300012086
1115,almost_egalitarian_with_donation,3,94.04932506731248,76.84797768479777,81.33971291866028,5.637303205677647,4.0,0.4372093023255814,215.0,215.0,215.0,8.420432500017341
1115,almost_egalitarian_with_donation,4,92.01780197825887,66.0,81.33971291866028,10.245939950486957,4.0,0.4594594594594595,219.0,222.0,222.0,8.725176600040868
1115,almost_egalitarian_with_donation,5,92.8009574165351,68.58037578288099,81.33971291866028,5.128785897446354,4.0,0.3410138248847926,213.0,217.0,217.0,7.9549261999782175
1115,almost_egalitarian_with_donation,6,93.89811848205892,73.8,81.33971291866028,5.953795442661541,4.0,0.547945205479452,219.0,219.0,219.0,8.723595700052101
1115,almost_egalitarian_with_donation,7,92.95949126891824,68.58037578288099,81.33971291866028,7.158212042671255,4.0,0.4036697247706422,218.0,218.0,218.0,8.92552779999096
1115,almost_egalitarian_with_donation,8,92.98279238057891,60.7,81.33971291866028,5.959379461687544,4.0,0.4037558685446009,212.0,213.0,213.0,8.031521299970336
1115,almost_egalitarian_with_donation,9,92.111662873222,66.0,64.35406698564593,7.701437734982588,4.0,0.5302325581395348,209.0,215.0,215.0,8.131810699997004
1500,utilitarian_matching,0,84.32337330827595,50.0,65.78947368421052,7.558303752906118,4.0,0.3344709897610921,262.0,284.0,284.0,0.3507352999877184
1500,utilitarian_matching,1,83.90482358139995,33.2,75.59808612440193,8.585029710531158,4.0,0.3265993265993266,260.0,276.0,277.0,0.3562276000156998
1500,utilitarian_matching,2,84.49611114552462,16.6,94.01913875598086,8.995503079806857,5.0,0.3321917808219178,271.0,277.0,281.0,0.8258811000268906
